(ddp_env) [curso370@login209-18 logs]$ cat gpu_usage_11807744.log
timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/15 01:14:57.015, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:02.024, 0, NVIDIA A100-PCIE-40GB, 98 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:02.024, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:07.062, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:07.062, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:12.071, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:12.071, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:17.089, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:17.089, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:22.100, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:22.100, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:27.124, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:27.124, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:32.140, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:32.140, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:37.161, 0, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:37.161, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:42.182, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:42.182, 1, NVIDIA A100-PCIE-40GB, 97 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:47.198, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:47.198, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:52.199, 0, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
2025/04/15 01:15:52.199, 1, NVIDIA A100-PCIE-40GB, 99 %, 5959 MiB, 40960 MiB
